Region 106 Avg IOU: 0.779830, Class: 0.769497, Obj: 0.002949, No Obj: 0.000019, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.637394, Class: 0.638749, Obj: 0.136019, No Obj: 0.000226, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 94 Avg IOU: 0.674047, Class: 0.837275, Obj: 0.137197, No Obj: 0.000120, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 106 Avg IOU: 0.507372, Class: 0.967663, Obj: 0.005305, No Obj: 0.000022, .5R: 0.800000, .75R: 0.000000,  count: 5
3007: 0.807305, 0.730613 avg, 0.000010 rate, 9.642192 seconds, 192448 images
Loaded: 0.000075 seconds
Region 82 Avg IOU: 0.631898, Class: 0.813850, Obj: 0.013770, No Obj: 0.000132, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.820728, Class: 0.851569, Obj: 0.158238, No Obj: 0.000187, .5R: 1.000000, .75R: 0.800000,  count: 5
Region 106 Avg IOU: 0.590260, Class: 0.744666, Obj: 0.000825, No Obj: 0.000024, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.550886, Class: 0.880924, Obj: 0.023907, No Obj: 0.000137, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.528062, Class: 0.706507, Obj: 0.278920, No Obj: 0.000200, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.745358, Class: 0.941607, Obj: 0.197237, No Obj: 0.000047, .5R: 1.000000, .75R: 0.666667,  count: 3
Region 82 Avg IOU: 0.595478, Class: 0.809490, Obj: 0.006679, No Obj: 0.000211, .5R: 0.666667, .75R: 0.333333,  count: 3
Region 94 Avg IOU: 0.653093, Class: 0.757417, Obj: 0.108839, No Obj: 0.000171, .5R: 1.000000, .75R: 0.400000,  count: 5
Region 106 Avg IOU: 0.778373, Class: 0.991057, Obj: 0.075603, No Obj: 0.000022, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.602898, Class: 0.999225, Obj: 0.870635, No Obj: 0.000296, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.683028, Class: 0.762436, Obj: 0.044594, No Obj: 0.000108, .5R: 1.000000, .75R: 0.250000,  count: 4
Region 106 Avg IOU: 0.609279, Class: 0.949857, Obj: 0.069612, No Obj: 0.000036, .5R: 0.750000, .75R: 0.000000,  count: 4
